ADDRESS,RACKS,SPACES,COORDINATES/0,COORDINATES/1
939 ELLIS ST,2,4,-122.42177834,37.78346622
1380 HOWARD ST,1,2,-122.414411,37.774458
1195 OAK ST,1,2,-122.438887,37.772737
1387 VALENCIA ST,1,2,-122.42019976,37.75087429
180 TOWNSEND ST,1,2,-122.392606,37.779369
247 FILLMORE ST,1,2,-122.43065953,37.77185018
247 FILLMORE ST,1,2,-122.43065953,37.77185018
2690 MISSION ST,2,4,-122.418974,37.754029
400 MCALLISTER ST,7,14,-122.419014,37.780519
680 08TH ST,1,2,-122.404719,37.770128
101 TOWNSEND ST,1,2,-122.390466,37.780226
1186 FOLSOM ST,1,2,-122.409866,37.77547
1301 SANSOME ST,1,2,-122.403298,37.802327
1304 VALENCIA ST,1,2,-122.420935,37.751851
1380 VALENCIA ST,1,2,-122.420834,37.750802
1601 HOWARD ST,2,4,-122.416789,37.771394
1700 FILBERT ST,1,2,-122.427674,37.799281
1700 OCEAN AVE,1,2,-122.460192,37.724988
201 GUERRERO ST,2,4,-122.424167,37.767853
2500 16TH ST,1,2,-122.411968,37.76582
2525 16TH ST,1,2,-122.411897,37.765121
300 GOUGH ST,1,2,-122.422666,37.776104
3232 16TH ST,1,2,-122.424904,37.76499
425 DIVISADERO ST,1,2,-122.437875,37.773364
426 BRANNAN ST,1,2,-122.395232,37.779654
499 GUERRERO ST,1,2,-122.42373,37.763298
501 DOLORES ST,2,4,-122.425711,37.76132
647 VALENCIA ST,1,2,-122.42145,37.762535
762 FULTON ST,1,2,-122.429259,37.778282
1 DR CARLTON B GOODLETT PL,2,4,-122.41903,37.778846
1000 MARKET ST,1,2,-122.410989,37.782044
1026 VALENCIA ST,1,2,-122.421372,37.756417
117 06TH ST,1,2,-122.408056,37.780857
117 06TH ST,1,2,-122.408056,37.780857
1200 IRVING ST,1,2,-122.471168,37.764349
1201 OCEAN AVE,1,2,-122.455509,37.723447
1231 MARKET ST,1,2,-122.414791,37.777947
1235 MISSION ST,1,2,-122.4135214,37.77666033
130 SUTTER ST,1,2,-122.40304,37.790237
